label,type,host
2009ad_65,HF,
2009ad_5,HF,
2002el_57,HF,
2008ar_57,HF,
2008ar_5,HF,
2008ar_65,HF,
AT2017ns_150,HF,
2004gs_5,HF,
SN2017ckx_150,HF,
2007is_65,HF,
2013bs_51,HF,
1998ab_62,HF,
1993ah_50,HF,
2006qo_64,HF,
ASASSN-15la_150,HF,
1996C_61,HF,
PS16cvc_150,HF,
ASASSN-15fs_150,HF,
2003ch_63,HF,
ASASSN-16ay_150,HF,
PSNJ0859349_150,HF,
ASASSN-16fs_150,HF,
LSQ12gdj_56,HF,
2000cw_57,HF,
2002de_57,HF,
ASASSN-16aj_150,HF,
ASASSN-16br_150,HF,
AT2017zd_150,HF,
ASASSN-16hh_18,HF,
ATLAS17ajn_150,HF,
Gaia16bba_150,HF,
1997dg_62,HF,
2004ef_57,HF,
2004ef_5,HF,
2004ef_64,HF,
ASASSN-15nq_150,HF,
AT2017lm_150,HF,
ASASSN-16fo_150,HF,
ASASSN-16es_18,HF,
AT2016cyt_150,HF,
2013fy_56,HF,
ASASSN-15uw_150,HF,
ASASSN-16hr_150,HF,
PS15cwx_150,HF,
1990O_50,HF,
2001ba_50,HF,
2009eu_51,HF,
2009fv_51,HF,
2009fv_65,HF,
SNF20080909-030_57,HF,
2008gg_51,HF,
2008gg_5,HF,
1999cc_62,HF,
AT2017wb_150,HF,
MASTEROTJ08_150,HF,
2007bd_51,HF,
2007bd_5,HF,
2007bd_64,HF,
2006bt_57,HF,
2006bt_5,HF,
2006bt_64,HF,
2006bw_64,HF,
ASASSN-15hg_150,HF,
ATLAS17axb_150,HF,
2010gn_56,HF,
CSS160428_150,HF,
2000dn_57,HF,
2006en_57,HF,
2006en_64,HF,
2008bq_5,HF,
ASASSN-16oz_150,HF,
2006az_64,HF,
010026_15,HF,
AT2017po_150,HF,
2007ai_5,HF,
2007ai_64,HF,
2007ux_5,HF,
2007ux_65,HF,
ASASSN-15pr_150,HF,
2008gl_65,HF,
2008gl_51,HF,
2008gl_5,HF,
SN2016hpx_150,HF,
SN2017cii_150,HF,
2006te_64,HF,
2006os_5,HF,
2004as_57,HF,
2004as_63,HF,
ASASSN-16bc_150,HF,
2008gp_5,HF,
2008gp_51,HF,
2010ag_66,HF,
2005iq_64,HF,
2005iq_5,HF,
PS15bsq_150,HF,
2004L_63,HF,
2003gn_57,HF,
2003cq_63,HF,
2006S_64,HF,
2011dl_51,HF,
2006gr_57,HF,
2006gr_64,HF,
ASASSN-16dw_150,HF,
2007ba_5,HF,
ATLAS17ajs_150,HF,
1996bl_61,HF,
2003kc_63,HF,
2003iv_63,HF,
ASASSN-15jl_150,HF,
1992bg_50,HF,
2005eu_57,HF,
2005eu_64,HF,
2008at_65,HF,
ASASSN-15tg_150,HF,
2007hu_65,HF,
PTSS-16efw_150,HF,
2016fbk_51,HF,
AT2016fbk_150,HF,
1994T_61,HF,
ASASSN-15mi_150,HF,
ASASSN-15ss_150,HF,
2001ck_57,HF,
PS15bbn_150,HF,
ASASSN-15lu_150,HF,
2008hj_5,HF,
2008hj_65,HF,
2000dg_57,HF,
2002G_57,HF,
2002G_63,HF,
2006mo_64,HF,
2008ei_57,HF,
2002hu_63,HF,
2000cf_62,HF,
2001eh_57,HF,
2001eh_63,HF,
ASASSN-16db_150,HF,
AT2016hns_150,HF,
ASASSN-15bc_150,HF,
2007jg_51,HF,
2007jg_5,HF,
AT2016cvw_150,HF,
2002eu_57,HF,
2008gb_65,HF,
2007O_57,HF,
2007O_64,HF,
2008fr_65,HF,
SN2017ciy_150,HF,
2008O_5,HF,
2009bv_65,HF,
2008051_65,HF,
ASASSN-15np_150,HF,
2010dw_66,HF,
ASASSN-15pn_150,HF,
1999aw_50,HF,
2008dr_57,HF,
PS15cze_150,HF,
2003fa_57,HF,
2003fa_63,HF,
SN2016glz_150,HF,
PS16axi_150,HF,
SN2017coa_150,HF,
2009do_65,HF,
2001az_63,HF,
2007jh_5,HF,
1992bl_50,HF,
2014bj_51,HF,
2006cf_64,HF,
2006cz_64,HF,
2007kk_51,HF,
2007kk_65,HF,
AT2016htm_150,HF,
ASASSN-16ct_150,HF,
SN2016ayg_150,HF,
2007nq_5,HF,
2007nq_65,HF,
MASTERJ0134_150,HF,
ASASSN-15mg_150,HF,
AT2016cvv_150,HF,
2005ku_5,HF,
1992bh_50,HF,
2006gt_5,HF,
2006hx_5,HF,
PS16cqa_150,HF,
PSNJ1204051_150,HF,
2005hc_64,HF,
2005hc_5,HF,
SN2016esh_150,HF,
PS17tn_150,HF,
2008050_65,HF,
AT2016ews_150,HF,
2005lz_64,HF,
360156_15,HF,
2004gu_5,HF,
2008cf_5,HF,
2008cf_65,HF,
AT2017yk_150,HF,
2016afk_150,HF,
PS16fa_150,HF,
PS15aii_150,HF,
PS17akj_150,HF,
ATLAS16agv_150,HF,
ASASSN-15pm_150,HF,
1995ac_61,HF,
AT2016gmg_150,HF,
1990af_50,HF,
PS16el_150,HF,
2006cq_64,HF,
1993ag_50,HF,
PS15asb_150,HF,
1998dx_62,HF,
PS16dnp_150,HF,
2007kh_65,HF,
ASASSN-17eb_150,HF,
PS15brr_150,HF,
2008hu_5,HF,
AT2016cor_150,HF,
PS16fbb_150,HF,
2003ic_63,HF,
ASASSN-16hc_150,HF,
1993O_50,HF,
2006ot_5,HF,
2006ot_64,HF,
AT2016htn_150,HF,
PS16evk_150,HF,
PS16n_150,HF,
2010dt_66,HF,
2006lu_5,HF,
PS16bby_150,HF,
PS16ayd_150,HF,
SN2017cpu_150,HF,
490007_15,HF,
AT2017oz_150,HF,
2006py_5,HF,
PS16aer_150,HF,
2005hj_5,HF,
2008eq_51,HF,
2006ob_5,HF,
2006ob_64,HF,
SN2016gmb_150,HF,
2001ah_63,HF,
2001ah_57,HF,
LSQ13crf_56,HF,
SN2017cjv_150,HF,
2008bz_5,HF,
2008bz_65,HF,
SN2016hhv_150,HF,
2008go_51,HF,
2008go_5,HF,
2006oa_64,HF,
1992bs_50,HF,
SN2016aqb_150,HF,
PS16bnz_150,HF,
2007ae_64,HF,
PS15cms_150,HF,
6057_1,HF,
SN2016ixf_150,HF,
AT2016aj_150,HF,
PS15bjg_150,HF,
CSS160129_150,HF,
2006al_64,HF,
PTSS17-niq_150,HF,
1993B_50,HF,
2008Y_51,HF,
2008Y_65,HF,
PS17yt_150,HF,
PS16em_150,HF,
2006on_64,HF,
470043_15,HF,
ATLAS16bwu_150,HF,
PS15bdr_150,HF,
PS15bwh_150,HF,
370566_15,HF,
PS15mt_150,HF,
2007jd_5,HF,
PS15atx_150,HF,
Gaia16aki_150,HF,
1992ae_50,HF,
PS17bii_150,HF,
7876_1,HF,
2005ir_5,HF,
2010hs_51,HF,
AT2016gsu_150,HF,
370333_15,HF,
PS15bif_150,HF,
Gaia16acv_150,HF,
17186_1,HF,
2007hx_5,HF,
560033_15,HF,
12779_1,HF,
PS15bzz_150,HF,
350316_15,HF,
2005ag_5,HF,
12950_1,HF,
130308_15,HF,
12898_1,HF,
12781_1,HF,
SN2016glp_150,HF,
3592_1,HF,
SN2016grz_150,HF,
1241_1,HF,
590194_15,HF,
370066_15,HF,
300105_15,HF,
iPTF17dz_150,HF,
010010_15,HF,
160099_15,HF,
000190_15,HF,
140181_15,HF,
100405_15,HF,
13135_1,HF,
20064_1,HF,
13038_1,HF,
18697_1,HF,
20625_1,HF,
3256_1,HF,
120225_15,HF,
21034_1,HF,
500038_15,HF,
7147_1,HF,
020027_15,HF,
18650_1,HF,
18612_1,HF,
8719_1,HF,
5395_1,HF,
2561_1,HF,
16259_1,HF,
1371_1,HF,
000137_15,HF,
5549_1,HF,
12860_1,HF,
490008_15,HF,
19953_1,HF,
390259_15,HF,
18835_1,HF,
2916_1,HF,
16021_1,HF,
13894_1,HF,
570062_15,HF,
6406_1,HF,
19543_1,HF,
13044_1,HF,
15459_1,HF,
2992_1,HF,
16069_1,HF,
744_1,HF,
14871_1,HF,
18855_1,HF,
22075_1,HF,
1032_1,HF,
5751_1,HF,
18415_1,HF,
18809_1,HF,
151034_15,HF,
1334084_10,HF,
15508_1,HF,
14108_1,HF,
15234_1,HF,
000014_15,HF,
17629_1,HF,
19775_1,HF,
18602_1,HF,
21062_1,HF,
17366_1,HF,
15171_1,HF,
190340_15,HF,
20084_1,HF,
12928_1,HF,
190230_15,HF,
090275_15,HF,
1794_1,HF,
17208_1,HF,
340229_15,HF,
1317666_10,HF,
2635_1,HF,
17568_1,HF,
190260_15,HF,
17497_1,HF,
8921_1,HF,
17605_1,HF,
1296657_10,HF,
440008_15,HF,
1316385_10,HF,
13796_1,HF,
14024_1,HF,
180166_15,HF,
1293758_10,HF,
14437_1,HF,
1255502_10,HF,
13736_1,HF,
2308_1,HF,
