,y_value,label,calib_host,CID,IDSURVEY
3416,-28.3915,AT2016cvv_150,,AT2016cvv,150
3417,-28.6595,AT2016htm_150,,AT2016htm,150
3418,-28.953,ATLAS17bas_150,,ATLAS17bas,150
3419,-28.622,Gaia16bba_150,,Gaia16bba,150
3420,-28.6445,MASTERJ0134_150,,MASTERJ0134,150
3421,-28.7275,PS15asb_150,,PS15asb,150
3422,-28.7235,PS15bzz_150,,PS15bzz,150
3423,-28.478,PS15cms_150,,PS15cms,150
3424,-28.175,PS15cze_150,,PS15cze,150
3425,-28.6245,PS16axi_150,,PS16axi,150
3426,-28.304,PS16cvc_150,,PS16cvc,150
3427,-28.3745,PS16fbb_150,,PS16fbb,150
3428,-28.6565,PS17bii_150,,PS17bii,150
3429,-28.2145,PTSS-16efw_150,,PTSS-16efw,150
3430,-28.5965,SN2016gmb_150,,SN2016gmb,150
3431,-28.632,SN2016hpx_150,,SN2016hpx,150
3432,-28.7625,ASASSN-15fs_150,,ASASSN-15fs,150
3433,-28.9045,ASASSN-15mi_150,,ASASSN-15mi,150
3434,-28.681,ASASSN-15nr_150,,ASASSN-15nr,150
3435,-28.7585,ASASSN-15pm_150,,ASASSN-15pm,150
3436,-28.367,ASASSN-15sf_150,,ASASSN-15sf,150
3437,-28.565,ASASSN-15tg_150,,ASASSN-15tg,150
3438,-28.585,ASASSN-16dw_150,,ASASSN-16dw,150
3439,-28.819,ASASSN-16hz_150,,ASASSN-16hz,150
3440,-28.4655,AT2016htn_150,,AT2016htn,150
3441,-28.3065,AT2017yk_150,,AT2017yk,150
3442,-28.451,Gaia16agf_150,,Gaia16agf,150
3443,-28.4925,PS15ahs_150,,PS15ahs,150
3444,-28.5445,PS15bsq_150,,PS15bsq,150
3445,-28.5475,PS16ayd_150,,PS16ayd,150
3446,-28.442,PS16ccn_150,,PS16ccn,150
3447,-28.3585,PS16dnp_150,,PS16dnp,150
3448,-28.41,PS16evk_150,,PS16evk,150
3449,-28.5275,PSNJ0153424_150,,PSNJ0153424,150
3450,-28.544,PSNJ0859349_150,,PSNJ0859349,150
3451,-28.423,SN2016glp_150,,SN2016glp,150
3452,-28.618,SN2016grz_150,,SN2016grz,150
3453,-28.4455,SN2016ixf_150,,SN2016ixf,150
3454,-28.4335,SN2017mf_150,,SN2017mf,150
3455,-28.6105,ASASSN-15bc_150,,ASASSN-15bc,150
3456,-28.5315,ASASSN-15jl_150,,ASASSN-15jl,150
3457,-28.933,ASASSN-15la_150,,ASASSN-15la,150
3458,-28.6115,ASASSN-15np_150,,ASASSN-15np,150
3459,-28.6745,ASASSN-16db_150,,ASASSN-16db,150
3460,-28.685,ASASSN-16hc_150,,ASASSN-16hc,150
3461,-28.5885,ASASSN-17at_150,,ASASSN-17at,150
3462,-28.5775,AT2016hns_150,,AT2016hns,150
3463,-28.5315,AT2017lm_150,,AT2017lm,150
3464,-28.668,AT2017po_150,,AT2017po,150
3465,-28.607,ATLAS17axb_150,,ATLAS17axb,150
3466,-28.4665,CSS160428_150,,CSS160428,150
3467,-28.5375,Gaia16aki_150,,Gaia16aki,150
3468,-28.3435,iPTF17dz_150,,iPTF17dz,150
3469,-28.506,PS15aii_150,,PS15aii,150
3470,-28.301,PS15bbn_150,,PS15bbn,150
3471,-28.7705,PS15bwh_150,,PS15bwh,150
3472,-28.4575,PS16aer_150,,PS16aer,150
3473,-28.7055,PS16el_150,,PS16el,150
3474,-28.4915,PS16fa_150,,PS16fa,150
3475,-28.5375,PS17akj_150,,PS17akj,150
3476,-28.5615,PSNJ0252467_150,,PSNJ0252467,150
3477,-28.5345,PSNJ1204051_150,,PSNJ1204051,150
3478,-28.43,SN2017cii_150,,SN2017cii,150
