RA,DEC,X,Y,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2
170.007546559501,13.003889902916907,3182.5645577185533,1886.0053994456566,23.3,1,27.309,0.176,6.2,-0.141,0.14,0,25.245,0.053,20.6,-0.063,0.118,0
169.9910425232103,13.00701947974414,2407.687182640555,1054.1243904887028,27.3,1,26.575,0.084,13.0,-0.117,0.485,0,25.297,0.045,24.0,-0.106,0.478,0
170.0088671767975,13.002703903563736,3203.5425289441628,2009.0971881548746,28.0,1,27.046,0.125,8.7,-0.087,0.044,0,25.187,0.041,26.6,-0.065,0.05,0
169.96135301343287,13.005017686390001,652.3364569783055,16.57232422672663,31.3,1,26.59,0.079,13.7,-0.291,0.493,0,25.144,0.039,27.9,-0.256,0.46,0
169.9706878492998,13.009493636104857,1382.0505932535157,115.60178028503788,20.2,1,27.169,0.214,5.1,-0.088,1.082,2,25.434,0.059,18.4,-0.201,1.252,0
169.9622320819918,12.99597366517624,287.2691217503373,590.3866027401351,29.5,1,26.305,0.069,15.8,0.191,0.546,0,25.202,0.044,24.6,0.116,0.683,0
169.99987197873617,13.0232521588277,3597.456071231163,442.8180219522475,27.4,1,26.707,0.099,11.0,-0.172,0.405,0,25.327,0.045,24.4,-0.128,0.301,0
170.0092053241948,13.022402637979136,4070.3540538420298,854.6783226845739,26.8,1,27.141,0.128,8.5,-0.063,0.005,0,25.176,0.043,25.2,-0.075,0.015,0
169.99995327242553,13.024260007374808,3644.915488313188,387.3014109528279,27.5,1,26.182,0.063,17.4,-0.212,0.619,0,25.373,0.052,21.1,-0.132,0.974,0
169.97045814184835,13.009818116293523,1383.6491144569652,87.55361610449225,23.3,1,26.217,0.062,17.5,-0.114,0.553,0,26.13,0.127,8.6,-0.332,1.319,0
170.0032637658954,13.003836464030126,2943.9427519244773,1721.3475467179605,24.1,1,26.348,0.085,12.8,-0.177,0.369,0,25.776,0.076,14.3,-0.108,0.446,0
170.0135418003696,13.00951708134911,3756.13926058056,1784.6288981850423,24.1,1,27.214,0.171,6.4,0.015,0.253,2,25.339,0.047,23.0,-0.027,0.174,0
169.96978591917846,12.991422104561838,508.582587943996,1160.0779131551492,26.6,1,27.158,0.134,8.1,0.078,0.063,0,25.288,0.043,25.1,-0.008,0.03,0
170.01022522013614,13.016409580126476,3870.5453072987843,1246.273672318298,27.4,1,26.39,0.077,14.1,-0.123,0.664,0,25.263,0.047,23.1,-0.109,0.643,0
170.00387810433108,13.004639393916117,3013.025068403179,1697.3187454045737,28.3,1,26.222,0.064,16.9,-0.135,0.299,0,25.414,0.049,22.1,-0.089,0.392,0
170.0167823163848,13.008540899387889,3891.6767738415056,1970.145948514127,23.1,1,27.564,0.213,5.1,0.23,0.027,0,25.359,0.048,22.5,-0.066,0.014,0
170.00001438389975,13.024178503541673,3644.7758772066863,394.4109441497914,25.7,1,26.124,0.063,17.4,-0.064,0.581,0,25.516,0.058,18.6,0.202,0.936,0
169.99936553648763,13.02928393753471,3826.517591450914,73.21106460631921,25.6,1,26.178,0.065,16.6,-0.189,0.896,0,25.529,0.056,19.2,-0.122,0.846,0
169.9953602714792,13.010375462188412,2793.725898903677,1023.3942789877023,26.3,1,26.538,0.094,11.6,-0.074,0.377,0,25.415,0.049,22.4,-0.046,0.432,0
170.00471663925626,13.022833618905082,3844.050955326655,655.1326963785633,28.3,1,26.469,0.073,15.0,-0.249,0.046,0,25.366,0.045,24.0,-0.326,0.065,0
169.99475997895425,13.012198034120232,2840.101047208191,892.3226430222664,26.7,1,26.413,0.072,15.1,-0.11,0.44,0,25.443,0.05,21.8,-0.157,0.494,0
170.0008104700916,13.010191365278612,3086.1338199446286,1246.6979776183769,23.0,1,27.001,0.13,8.3,-0.272,1.348,0,25.34,0.051,21.2,-0.22,0.941,0
169.9922902597127,13.014349458241327,2797.5863805223516,669.5575285229874,26.9,1,26.533,0.078,13.9,-0.094,0.337,0,25.396,0.048,22.8,-0.061,0.417,0
169.97548126625938,13.01248227732993,1783.4224245007206,126.19886610655243,27.3,1,26.662,0.093,11.7,-0.064,0.256,0,25.462,0.047,23.0,-0.041,0.19,0
170.00270629353298,13.030719284270356,4068.9929992685225,119.42668566303799,23.8,1,27.663,0.202,5.4,-0.228,0.083,0,25.449,0.047,23.1,-0.033,0.046,0
169.97816663396014,12.984008540816262,641.7831726740656,1941.135809325007,27.6,1,26.04,0.059,18.5,-0.183,0.582,0,25.425,0.054,20.1,-0.297,0.858,0
170.00456041886576,13.014898776408186,3495.778130450891,1114.5144080289695,26.9,1,26.53,0.079,13.7,-0.16,0.096,0,25.4,0.047,22.9,-0.117,0.283,0
