X,Y,RA,DEC,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2
1591.8,2155.28,53.47395054401954,-36.19769195017014,92.7,1,28.76,0.147,7.4,-0.636,0.049,0,27.204,0.062,17.4,0.522,0.057,0
3833.33,130.03,53.475867871857005,-36.23962095824611,83.4,1,29.032,0.179,6.1,-0.0409999999999999,0.006,0,27.899,0.109,10.0,-0.094,0.16,0
3579.07,2200.9,53.45136436077047,-36.21843058170768,87.1,1,28.264,0.093,11.7,0.0069999999999999,0.031,0,27.748,0.092,11.7,-0.158,0.093,0
4039.23,4265.14,53.41905495747102,-36.20489370431297,74.8,1,29.647,0.342,3.2,-0.97,0.09,0,27.803,0.102,10.6,0.888,0.077,0
1336.63,4153.44,53.450429109006485,-36.17714062905923,67.3,1,30.206,0.515,2.1,-0.488,0.068,0,28.119,0.136,8.0,0.595,0.078,0
1763.85,2120.99,53.47249986495558,-36.199828882557085,82.2,1,28.431,0.104,10.4,0.249,0.122,0,28.669,0.214,5.1,-0.321,0.025,0
700.83,4094.77,53.458233750599234,-36.17089954728335,86.0,1,28.339,0.104,10.4,1.017,0.045,0,27.859,0.1119999999999999,9.7,-0.8109999999999999,0.15,0
3385.13,101.39,53.481204944806166,-36.235106762381804,75.1,1,29.717,0.331,3.3,-0.518,0.0279999999999999,0,27.986,0.1169999999999999,9.3,0.603,0.049,0
1922.85,72.22,53.497765245153644,-36.21980383583651,67.9,1,30.37,0.5489999999999999,2.0,-0.437,0.092,0,28.005,0.115,9.4,0.368,0.026,0
2640.61,2534.51,53.45734846962388,-36.205467286719276,77.9,1,29.596,0.306,3.5,-0.496,0.016,0,28.118,0.134,8.1,0.425,0.008,0
3556.02,2163.24,53.452116082608555,-36.21852154519915,71.9,1,28.429,0.105,10.4,0.452,0.001,0,28.545,0.187,5.8,-0.384,0.195,0
1104.29,1591.15,53.48678140870501,-36.19753819629834,88.6,1,30.272,0.384,2.8,-0.2339999999999999,0.008,0,28.121,0.096,11.4,0.422,0.0069999999999999,0
3801.84,3801.56,53.427793493334704,-36.20650859853356,242.1,1,25.01,0.0069999999999999,153.3,-0.0559999999999999,0.289,0,24.165,0.006,187.1,-0.09,0.359,0
424.92,4069.24,53.46162116326484,-36.16819164980261,62.0,1,29.548,0.305,3.6,-1.101,0.259,0,28.239,0.158,6.9,0.858,0.271,0
