,X,Y,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2,RA,DEC
1070,2670.190169452247,1258.1656042793456,50.9,1,27.654,0.051,21.3,-0.0069999999999999,0.182,0,25.952,0.024,44.4,0.048,0.172,0,54.70619163469683,-35.581036367508574
1071,3931.3598768954607,1084.266261981274,35.2,1,28.173,0.174,6.2,0.11,0.324,0,26.182,0.032,33.6,-0.201,0.294,0,54.70237775457405,-35.59844421693664
1072,3234.23018691082,1010.6209435145504,33.9,1,27.659,0.072,15.2,0.016,0.353,0,26.042,0.038,28.4,0.08,0.287,0,54.707244499538476,-35.589548554382944
1073,3928.46553309711,1210.2558138354768,41.2,1,27.501,0.072,15.1,-0.07,0.109,0,26.183000000000003,0.03,36.6,-0.182,0.152,0,54.70034577012807,-35.59786655812208
1074,3011.895535765167,508.220862942074,20.9,1,27.368,0.085,12.7,0.24,0.252,0,26.339,0.079,13.7,-0.015,0.3379999999999999,0,54.71657761974831,-35.588761140804
1075,2761.671639490632,454.8990446690228,32.9,1,28.005,0.098,11.1,0.223,0.136,0,25.975,0.037,29.6,-0.188,0.134,0,54.718760672730824,-35.585683055553275
1076,2604.274385799172,623.2472198444281,42.7,1,27.334,0.045,23.9,0.092,0.31,0,26.068,0.033,33.3,0.108,0.368,0,54.71685368009374,-35.58288292827157
1077,2920.565690830169,215.11112245240267,27.1,1,27.677,0.086,12.6,0.02,0.305,0,26.148000000000003,0.051,21.4,-0.076,0.376,0,54.72182069705438,-35.58880860513723
1078,3752.3914547568775,76.27823333919034,19.9,1,27.784,0.108,10.1,-0.0069999999999999,0.302,0,26.179,0.079,13.7,0.011,0.285,0,54.71969957276665,-35.60039385515997
1079,3086.7589569832303,189.78253503246097,20.0,1,27.952,0.144,7.6,-0.073,0.18,0,26.252,0.072,15.0,0.179,0.301,0,54.72135781128225,-35.59111295547308
1080,2676.386321350042,722.357461338507,39.3,1,27.623,0.06,17.9,-0.006,0.33,0,26.018,0.032,33.5,-0.004,0.346,0,54.714863988242044,-35.58341161109942
1081,3673.51675945718,1496.092813660027,54.3,1,27.54,0.0409999999999999,26.2,-0.123,0.1669999999999999,0,26.031,0.024,45.7,-0.069,0.092,0,54.69704383997563,-35.593274177156026
1082,3873.7272686605024,1207.665385463256,45.1,1,27.703000000000003,0.053,20.3,0.055,0.367,0,26.076,0.0279999999999999,38.4,0.053,0.408,0,54.70067608928603,-35.597154421444515
1083,3564.426331767804,949.5037864707356,31.7,1,27.807,0.086,12.6,0.078,0.111,0,26.041,0.04,27.2,-0.046,0.121,0,54.7064993452626,-35.59417297767527
1084,3308.1819736540897,881.1019709946693,26.9,1,27.33,0.067,16.2,-0.038,0.1989999999999999,0,26.229,0.057,19.0,-0.181,0.358,0,54.70895964514786,-35.59108007594828
1085,3695.464136986904,773.4654267458312,26.1,1,27.715,0.092,11.9,-0.086,0.144,0,26.152,0.051,21.3,0.102,0.282,0,54.70866996575004,-35.59665790272794
1086,2883.581156295629,537.3297400899876,26.6,1,28.107,0.13,8.3,0.099,0.37,0,26.019,0.045,23.9,0.168,0.3389999999999999,0,54.7167798846324,-35.58694113217962
1087,2992.5625430986443,878.9094580193624,29.3,1,28.122,0.1169999999999999,9.3,-0.035,0.159,0,26.094,0.042,25.9,-0.106,0.123,0,54.71065651926941,-35.58691921991075
1088,3582.276156730452,52.546954946144936,17.2,1,27.305,0.081,13.4,-0.017,0.099,0,26.139,0.134,8.1,0.122,0.15,0,54.720980430803955,-35.59824760886519
1089,3069.9208677128863,1580.187709959562,55.1,1,27.488000000000003,0.039,27.6,-0.084,0.113,0,26.056,0.024,45.2,-0.13,0.129,0,54.69885572693932,-35.584939163850535
1090,3924.437238615889,792.4971910006301,28.1,1,27.956,0.191,5.7,-0.1159999999999999,0.376,0,26.217,0.042,25.9,-0.054,0.315,0,54.707155308895835,-35.59960181019959
1091,3701.5865903821264,833.7652722115099,30.0,1,27.431,0.065,16.6,-0.057,0.143,0,26.152,0.047,23.0,0.057,0.226,0,54.70765791136604,-35.59648068211543
1092,2446.666435228875,322.306976509089,45.7,1,27.66,0.051,21.1,0.141,0.275,0,26.024,0.0279999999999999,38.5,0.07,0.331,0,54.72257228282566,-35.58208812411109
1093,3229.023450063952,853.9314305374545,26.0,1,27.602,0.087,12.5,0.081,0.198,0,26.121,0.052,20.7,-0.226,0.299,0,54.70981777542925,-35.59015046548793
1094,2918.6130740605727,834.2990179934513,34.4,1,27.465,0.061,17.7,-0.089,0.264,0,26.024,0.038,28.2,-0.073,0.3289999999999999,0,54.71177052071388,-35.58613306832476
1095,1692.878609258752,927.508915469392,61.8,1,27.91,0.048,22.8,0.033,0.1669999999999999,0,26.011,0.019,56.4,-0.033,0.147,0,54.71670606945563,-35.56953844074558
1096,1131.0494373407464,515.9158175284049,66.9,1,28.089,0.049,22.0,-0.002,0.129,0,25.986,0.018,61.9,0.009,0.123,0,54.72634718665052,-35.56387587509985
1097,3923.414174081264,948.9166551408124,33.2,1,27.115,0.076,14.4,-0.11,0.0969999999999999,0,26.241,0.037,29.0,-0.134,0.344,0,54.704618937220204,-35.59891868653818
1098,3321.915614930254,67.49482541537341,16.8,1,27.316,0.089,12.2,-0.272,0.092,0,26.529,0.135,8.0,0.01,0.337,0,54.72210755110896,-35.594743406752876
1099,3761.720764922259,67.788336479348,21.6,1,27.278,0.066,16.4,-0.109,0.2769999999999999,0,26.431,0.099,11.0,0.051,0.488,0,54.719788442581404,-35.60055345426018
